d_municipio,c_estado,c_mnpio
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
olvaro Obregon,09,010
